name,tau,delta1,delta2,exp_id,lambda,rounds,rt_sum,rt_list,wandb_flag
kind-spaceship-12374,3,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,103442162.55663098,"[14214541.360872, 3337267.751633, 4559055.048395, 5345650.055939999, 5336374.370771, 3647467.104649, 4273419.543198999, 2350059.0548860007, 5387185.738977999, 3740912.251001, 3935067.20116, 6036697.590612, 4495388.473354, 3502804.187655, 3615286.482538999, 11619765.333892, 5176149.447670001, 4656496.871455, 4109179.89092, 4103394.79705]",True
giddy-snow-12377,5,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,97990128.25340398,"[14214541.395284, 3337268.2246640003, 4559055.084994, 5345650.125597, 5336374.416695, 3647467.158932, 4273419.511003, 2547930.8879640005, 5387185.678874999, 3722009.640275, 4119025.794968, 5359027.833385999, 3898019.08831, 3664968.862208, 3605088.021241999, 7794256.861059001, 4504352.994713, 4655290.738453, 4006246.863534999, 4012949.071247]",True
stilted-pine-12380,8,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,106780115.476811,"[14214541.394488, 3337268.1844450003, 4559055.079891001, 5345650.063978, 5336374.4362389995, 3647467.254566, 4273419.638393999, 2547931.040882, 5385633.138277, 3789480.5661479994, 4054451.441719, 7401388.26061, 7012093.741172, 3652854.574448, 3567651.3658539997, 7792887.888631, 8072704.672226, 4681124.051921998, 4096713.831814, 4011424.851106999]",True
celestial-rain-12383,10,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,106780116.74152698,"[14214541.433023, 3337268.597018, 4559055.100502001, 5345650.094407, 5336374.40073, 3647467.24444, 4273419.642131999, 2547931.0259920005, 5385633.098475999, 3789480.626434, 4054451.446931, 7401388.29001, 7012093.915264, 3652854.732948, 3567651.3859699997, 7792887.904821, 8072704.762072, 4681124.166347998, 4096713.931421, 4011424.942587999]",True
serene-water-12386,15,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,106780116.925501,"[14214541.419221, 3337268.3125070003, 4559055.083442001, 5345650.116171, 5336374.405737, 3647467.23541, 4273419.66709, 2547931.0051410003, 5385633.201433999, 3789480.7350019994, 4054451.377136, 7401388.362901, 7012093.945491, 3652854.669699, 3567651.4667649996, 7792887.951541, 8072704.713371, 4681124.210080998, 4096714.00007, 4011425.047290999]",True
prime-disco-12388,25,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,106780117.30586196,"[14214541.371169, 3337268.676763, 4559055.115305001, 5345650.128018, 5336374.302379, 3647467.037144, 4273419.7292329995, 2547931.1663920004, 5385633.155121, 3789480.8287519994, 4054451.347525, 7401388.174777, 7012093.836187, 3652854.657935, 3567651.6143759997, 7792887.949721, 8072704.806841, 4681124.164430998, 4096714.108138, 4011425.135654999]",True
genial-rain-12390,50,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,106780115.755959,"[14214541.371057, 3337268.075129, 4559055.1365290005, 5345650.148854, 5336374.368964, 3647467.246889, 4273419.584338999, 2547930.864783, 5385633.01811, 3789480.462251, 4054451.373042, 7401388.16127, 7012093.8446080005, 3652854.597654, 3567651.488424, 7792888.031092, 8072704.764647, 4681124.254208999, 4096714.000766, 4011424.963341999]",True
serene-flower-12393,70,0.001,0.01,job_random_1_MAB_rep16_round20,0.01,0,106780115.806112,"[14214541.393782, 3337268.337138, 4559055.088582001, 5345649.993384, 5336374.388343, 3647467.302463, 4273419.716583, 2547930.9018110004, 5385633.029968999, 3789480.6727109994, 4054451.356357, 7401388.274254, 7012093.701955, 3652854.560403, 3567651.377877, 7792887.980581, 8072704.607997, 4681124.178121999, 4096713.967521, 4011424.976278999]",True
frosty-wind-12396,3,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,103442163.673452,"[14214541.392944, 3337268.30809, 4559055.034011001, 5345650.127572999, 5336374.565768, 3647467.150536, 4273419.776916999, 2350059.1563350004, 5387185.744665, 3740912.193107, 3935067.110474, 6036697.64513, 4495388.565393999, 3502804.13641, 3615286.584195, 11619765.265918, 5176149.420996001, 4656496.918897, 4109179.920311, 4103394.655781]",True
firm-rain-12399,5,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,97990128.81960398,"[14214541.362278, 3337268.3622020003, 4559055.189932001, 5345650.218653, 5336374.605835, 3647467.270976, 4273419.703368999, 2547931.029076, 5387185.662225999, 3722009.738927, 4119025.850256, 5359027.930856, 3898019.005543, 3664968.867529, 3605087.8432109994, 7794256.781236, 4504352.817712001, 4655290.625797999, 4006246.904345999, 4012949.049643]",True
fragrant-sound-12402,8,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,97990129.20787,"[14214541.397482, 3337268.414443, 4559055.161979001, 5345650.156231999, 5336374.542599, 3647467.239127, 4273419.656958999, 2547930.9729390005, 5387185.665378, 3722009.720807, 4119025.843426, 5359027.939177999, 3898019.130984, 3664969.045991, 3605087.9539299994, 7794256.805144001, 4504352.856258, 4655290.705084999, 4006246.891251, 4012949.108678]",True
bumbling-violet-12405,10,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,106780116.91967198,"[14214541.393081, 3337268.39478, 4559055.157532001, 5345650.199283999, 5336374.583982, 3647467.333285, 4273419.534498999, 2547931.0113540003, 5385633.099172999, 3789480.6373359994, 4054451.508853, 7401388.288849, 7012093.798959, 3652854.671424, 3567651.5028709997, 7792887.92107, 8072704.696531, 4681124.178554999, 4096714.029858, 4011424.978395999]",True
wandering-terrain-12407,15,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,106780116.90952702,"[14214541.350875, 3337268.131567, 4559055.170344001, 5345650.210353, 5336374.587729, 3647467.254869, 4273419.605396, 2547931.0266640005, 5385633.180318, 3789480.616617, 4054451.51584, 7401388.320607, 7012093.883536, 3652854.769568, 3567651.4035179997, 7792887.918628, 8072704.686629, 4681124.243502999, 4096714.024294, 4011425.008671999]",True
stellar-dew-12410,25,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,106780116.95057502,"[14214541.383478, 3337268.7220630003, 4559055.015529001, 5345650.042857, 5336374.397462999, 3647467.09105, 4273419.488828999, 2547930.9091760004, 5385633.254868999, 3789480.531386, 4054451.437619, 7401388.381035, 7012093.848103, 3652854.854476, 3567651.5065129995, 7792887.98871, 8072704.838271, 4681124.103240998, 4096714.137876, 4011425.018030999]",True
spring-silence-12413,50,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,106780116.035546,"[14214541.353602, 3337268.088852, 4559055.084358001, 5345650.177579, 5336374.470152, 3647467.224468, 4273419.623066999, 2547931.0350520005, 5385633.140732999, 3789480.5070389993, 4054451.312977, 7401388.320063, 7012093.764555, 3652854.570011, 3567651.4500299995, 7792887.984708, 8072704.712378, 4681124.178932998, 4096714.054278, 4011424.982710999]",True
denim-grass-12415,70,0.001,0.02,job_random_1_MAB_rep16_round20,0.01,0,106780117.658477,"[14214541.392801, 3337268.8300650003, 4559055.193182001, 5345650.257676, 5336374.689754999, 3647467.27789, 4273419.664686999, 2547931.002681, 5385633.1049, 3789480.526384999, 4054451.462017, 7401388.253363, 7012093.893037, 3652854.718559, 3567651.606794999, 7792888.002383, 8072704.739965, 4681124.140456999, 4096713.960114, 4011424.941764999]",True
frosty-plant-12418,3,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,103442163.152417,"[14214541.37209, 3337268.090715, 4559055.048879, 5345650.072674, 5336374.422458, 3647467.163027, 4273419.566221, 2350059.1080100005, 5387185.722127999, 3740912.193492, 3935067.146286, 6036697.635961, 4495388.589813, 3502804.221617, 3615286.530846, 11619765.412748, 5176149.471462001, 4656496.851607, 4109179.863227, 4103394.669156]",True
dainty-silence-12420,5,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,97990129.67286,"[14214541.401663, 3337268.232321, 4559055.011799001, 5345650.031223999, 5336374.317981, 3647467.297284, 4273419.805528999, 2547931.2605540003, 5387185.8774069995, 3722009.719403, 4119025.918288, 5359028.044957999, 3898019.095677, 3664968.907304, 3605087.946006, 7794256.916681, 4504352.848343, 4655290.782172999, 4006247.125909999, 4012949.1323549994]",True
swift-frog-12423,8,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,97990129.598897,"[14214541.371884, 3337268.499262, 4559055.113159001, 5345650.168369, 5336374.400156, 3647467.176376, 4273419.553749999, 2547930.879277, 5387185.750754, 3722009.74507, 4119025.932854001, 5359027.977483999, 3898019.214339, 3664969.019784, 3605088.172141999, 7794256.925393, 4504352.948621, 4655290.688050999, 4006246.972903, 4012949.089269]",True
pious-glade-12426,10,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,106780116.563362,"[14214541.365601, 3337268.2121180003, 4559055.113061001, 5345650.138014, 5336374.500314999, 3647467.32716, 4273419.727805999, 2547930.906512, 5385633.131781, 3789480.638970999, 4054451.344478, 7401388.334088, 7012093.866994, 3652854.591141, 3567651.3977789995, 7792887.911727, 8072704.741131, 4681124.250246999, 4096714.091805, 4011424.972632999]",True
generous-breeze-12429,15,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,106780116.959605,"[14214541.411627, 3337268.768276, 4559055.171635001, 5345650.118761, 5336374.471874, 3647467.209581, 4273419.591796999, 2547930.9106560005, 5385633.083338999, 3789480.555672, 4054451.50358, 7401388.355568999, 7012093.894122, 3652854.607956, 3567651.4041629997, 7792887.925518, 8072704.753692, 4681124.111889998, 4096714.123395, 4011424.986501999]",True
giddy-wildflower-12432,25,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,106780116.79867598,"[14214541.420779, 3337268.281264, 4559055.132999001, 5345650.187906, 5336374.412076999, 3647467.248751, 4273419.713440999, 2547931.0948350006, 5385633.222208, 3789480.6393809994, 4054451.425718, 7401388.417087, 7012093.869337, 3652854.691661, 3567651.4271529997, 7792887.905794, 8072704.594681, 4681124.008981998, 4096714.019155, 4011425.085466999]",True
usual-deluge-12435,50,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,106780116.816335,"[14214541.356227, 3337268.220106, 4559055.192757001, 5345650.202405, 5336374.535184, 3647467.462979, 4273419.7295349995, 2547930.9913020004, 5385633.123327999, 3789480.5989029994, 4054451.466439, 7401388.26012, 7012093.755342, 3652854.6748, 3567651.4999019997, 7792887.996589, 8072704.646239, 4681124.145693999, 4096714.003531, 4011424.954952999]",True
swift-universe-12437,70,0.001,0.002,job_random_1_MAB_rep16_round20,0.01,0,106780118.068251,"[14214541.400027, 3337268.924724, 4559055.337384, 5345650.224049, 5336374.589199999, 3647467.225316, 4273419.763358, 2547931.1534610004, 5385633.164135, 3789480.657513, 4054451.433215, 7401388.293436, 7012093.740501, 3652854.681388, 3567651.5449209996, 7792888.048516, 8072704.729686, 4681124.121086999, 4096713.979341, 4011425.056992999]",True
cool-fog-12439,3,0.001,0.0002,job_random_1_MAB_rep16_round20,0.01,0,97990130.12102398,"[14214541.336949, 3337267.979318, 4559055.104271001, 5345650.254555, 5336374.669667, 3647467.562615, 4273419.865656, 2547931.012438, 5387186.021455999, 3722009.904452, 4119025.934654, 5359028.009800999, 3898019.051977, 3664968.879804, 3605087.9634079994, 7794256.941051001, 4504352.8591950005, 4655290.757985, 4006246.895628, 4012949.116144]",True
firm-silence-12442,5,0.001,0.0002,job_random_1_MAB_rep16_round20,0.01,0,106780117.21253,"[14214541.358581, 3337267.879861, 4559055.030546001, 5345650.01768, 5336374.24371, 3647467.058461, 4273419.507579999, 2547931.0151600004, 5385633.133241999, 3789480.971741999, 4054451.670355, 7401388.417921, 7012093.956553, 3652854.913881, 3567651.643601, 7792888.161966, 8072704.771245, 4681124.255635998, 4096714.148754, 4011425.056054999]",True
