name,tau,delta1,delta2,exp_id,lambda,rounds,rt_sum,rt_list,wandb_flag
sleek-totem-14040,3,0.001,0.01,job_shifting_1_MAB_80,0.01,0,133989531.63957097,"[3578310.917834, 714424.706882, 1681301.217189, 604242.91964, 603580.926781, 890601.224354, 997715.347284, 634605.5936439999, 566983.55208, 732080.851374, 735882.7619759999, 557619.425621, 641722.7502080001, 887855.9430569999, 1513304.92975, 1191284.364096, 482151.738609, 973433.972242, 1108434.7044470003, 970707.90809, 2071705.368009, 2123667.5956, 2169995.903634, 2340941.540854, 1557646.453246, 1994082.698123, 2044877.525213, 2046287.580926, 2217253.960981, 2050160.975189, 1743883.941218, 1879892.93413, 2040085.2209419997, 1960569.439019, 2119374.9930800004, 2239559.52573, 1857714.782934, 2181070.339686, 1724837.460009, 2139928.356885, 2351418.448568, 2850672.219895, 3277376.7404719996, 2950719.385299, 1933295.094254, 2657346.7415520004, 1245861.594201, 1430014.351469, 1455005.1917439995, 1292348.2803870002, 1256627.978661, 774302.311491, 857728.637763, 1967269.285165, 2057181.00967, 1937680.836339, 996991.374591, 1260016.257397, 829348.987889, 1195683.928981, 1662429.3273869995, 1772300.76469, 1863676.817652, 1656808.99358, 1893054.95019, 1817823.546529, 2166319.1627479997, 1857393.763284, 1664299.855951, 2544052.777318, 1953762.629723, 1747107.654293, 1659207.7298640003, 1823617.787225, 2118802.7474, 1758184.4956910005, 2256761.521372, 1979752.817573, 2323751.639197, 2323751.65155]",True
fiery-wood-14041,5,0.001,0.01,job_shifting_1_MAB_80,0.01,0,137441580.30614397,"[3578310.9181, 714424.385989, 1681301.181383, 604242.899172, 603580.923508, 1114604.022707, 997715.275506, 634605.5555199999, 566983.513846, 732080.8186049999, 539549.703971, 557619.3360979999, 641722.6843010001, 702748.724297, 1513304.874265, 1191284.275712, 482151.665541, 973433.895654, 974976.316076, 970707.865234, 2071705.169285, 2123667.2721760003, 2169995.84883, 2413737.637312, 1557646.367495, 1994082.609446, 2044877.43938, 2046287.491829, 2217253.929022, 2050160.938314, 1725524.100281, 1851349.417431, 1971534.958226, 1900597.218113, 1985809.387769, 2196773.888204, 1762338.869125, 2080189.9764499995, 1712403.5082170002, 2050926.018807, 2351418.374176, 2850672.098106, 3277376.6734399996, 2977584.116493, 1933295.056238, 2677517.9599869996, 2378296.509752, 2449670.557001, 2438037.595524, 2342326.104857, 1256627.908961, 774302.279909, 857728.6064569999, 2042886.3576499997, 2132487.581443, 1722716.6833439998, 997206.200768, 1306117.46779, 829348.978041, 1195683.885928, 1662429.2554429998, 1772945.579124, 1865499.1406360003, 1656820.552528, 1893054.9202, 1813524.098866, 2166319.1303089997, 1856792.79094, 1664017.51182, 2541704.771266, 1953762.600976, 1749228.332489, 1649166.0512740002, 1824206.810248, 2119843.869631, 1876224.220683, 2256474.728168, 1979752.784067, 2323150.640198, 2323150.640216]",True
efficient-galaxy-14042,8,0.001,0.01,job_shifting_1_MAB_80,0.01,0,144042677.71428192,"[3578310.912288, 714424.3837369999, 1681301.17954, 604242.898539, 603580.919374, 1114604.021233, 996569.758311, 634605.553505, 566983.512028, 732080.8125359999, 539549.702347, 557619.3322299999, 641722.680684, 702748.722465, 1513304.912453, 1191284.2746169998, 482151.660996, 973433.893866, 974976.312997, 970707.863961, 2071705.322186, 2123667.275464, 2169995.848459, 2413737.638347, 1750268.148098, 2060798.409947, 2044877.436156, 2046287.490241, 2113262.1698829997, 2111583.19077, 1769123.910572, 1879892.868321, 2040085.180619, 1972982.237084, 1985809.388947, 2196773.888305, 1762338.867403, 2080189.959774, 1712403.5089880002, 2050926.056798, 2351418.387342, 2850672.043599, 3277376.6694489997, 2977584.111272, 1956264.634104, 2696880.484742, 2366396.5467239995, 2423186.995794, 2411511.946029, 1292348.237474, 2351214.5991760003, 1946319.395349, 2100914.51686, 3013906.7787239994, 2971328.294871, 2623021.308075, 2022201.860176, 1306117.469734, 829348.9807389999, 1195683.889855, 1662429.2723839998, 1772945.594474, 1865499.139183, 1656820.550112, 1893054.91833, 1813524.097189, 2166319.12817, 1856792.78954, 1664017.50964, 2541704.77015, 1953762.600829, 1749228.332464, 1649166.051563, 1824206.813609, 2119843.871924, 1876224.221502, 2256474.7340519996, 1979752.781561, 2323150.64277, 2323150.640679]",True
restful-bush-14043,10,0.001,0.01,job_shifting_1_MAB_80,0.01,0,144042679.43837008,"[3578310.92436, 714424.29848, 1681301.257641, 604242.976194, 603581.008002, 1114604.098167, 996569.836322, 634605.6301369999, 566983.589978, 732080.8934389999, 539549.7809590001, 557619.410113, 641722.759303, 702748.800759, 1513304.939339, 1191284.350982, 482151.740861, 973433.967719, 974976.393927, 970707.941888, 2071705.262901, 2123667.377272, 2169995.887976, 2413737.644535, 1750268.156121, 2060798.417527, 2044877.488889, 2046287.500507, 2113262.178014, 2111583.196664, 1769123.917606, 1879892.889676, 2040085.218392, 1972982.247236, 1985809.394227, 2196773.947621, 1762338.872183, 2080189.980843, 1712403.511258, 2050926.020272, 2351418.387254, 2850672.102586, 3277376.665826, 2977584.1149669997, 1956264.63379, 2696880.4857860003, 2366396.545681, 2423186.9968660004, 2411511.952958, 1292348.239035, 2351214.5960390004, 1946319.3928, 2100914.5192589997, 3013906.7759699994, 2971328.286109, 2623021.3070779997, 2022201.867425, 1306117.470469, 829348.979034, 1195683.888292, 1662429.2695709998, 1772945.5589259998, 1865499.2299840003, 1656820.5559019998, 1893054.916837, 1813524.095172, 2166319.124426, 1856792.824196, 1664017.5093800002, 2541704.77267, 1953762.601062, 1749228.327147, 1649166.049909, 1824206.809333, 2119843.867399, 1876224.218789, 2256474.731072, 1979752.783939, 2323150.638269, 2323150.638873]",True
ethereal-lake-14044,15,0.001,0.01,job_shifting_1_MAB_80,0.01,0,136797730.74551195,"[3578310.9072040003, 714424.336792, 1681301.260424, 604242.978262, 603581.0093660001, 1114604.1167469998, 996569.857996, 634605.6513799999, 566983.616364, 732080.90054, 539549.712391, 557619.3424049999, 641722.686146, 702748.726009, 1513304.868231, 1191284.3718299998, 482151.745239, 973433.977346, 974976.394301, 970707.944868, 2071705.332664, 2123667.2562650004, 2169995.928118, 2413737.720134, 1750268.229329, 2060798.489463, 2044877.520107, 2046287.5707, 2113262.250549, 2111583.268747, 1769123.988088, 1879892.949411, 2040085.279603, 1972982.334669, 1985809.47011, 2196773.892667, 1762338.92687, 2080189.967895, 1712403.517309, 2050926.029718, 2351418.429653, 2850672.0250950004, 3277376.746225, 2977584.196647, 1956264.718529, 2696880.565637, 2366396.5592429996, 2423186.998833, 2411511.960864, 1292348.26107, 1256627.912, 774302.281097, 857728.7086009999, 2042886.4201809997, 2132487.641255, 1722716.7399419998, 997206.208153, 1306117.47488, 829348.983147, 1195683.897732, 1662429.2758249997, 1772945.654994, 1865499.145781, 1656820.623832, 1893054.9803869997, 1813524.1808690005, 2166319.2097529997, 1856792.870538, 1664017.590446, 2541704.8501, 1953762.686598, 1749228.383926, 1649166.142708, 1824206.884386, 2119843.90302, 1876224.26355, 2256474.814576, 1979752.861299, 2323150.67802, 2323150.689863]",True
driven-resonance-14045,25,0.001,0.01,job_shifting_1_MAB_80,0.01,0,136797731.724671,"[3578310.9115480003, 714424.805022, 1681301.215758, 604242.929594, 603581.004924, 1114604.0965689998, 996569.843032, 634605.6437719999, 566983.5686229999, 732080.9026009999, 539549.792586, 557619.422654, 641722.770846, 702748.780835, 1513304.953784, 1191284.3053859998, 482151.707231, 973433.983313, 974976.368245, 970707.952524, 2071705.24609, 2123667.57878, 2169995.910733, 2413737.71318, 1750268.22609, 2060798.436919, 2044877.525788, 2046287.578608, 2113262.229639, 2111583.2402729997, 1769123.945743, 1879892.90178, 2040085.2080119995, 1972982.26908, 1985809.422845, 2196773.9599, 1762338.897566, 2080189.990112, 1712403.56978, 2050926.082188, 2351418.464201, 2850672.2614, 3277376.713952, 2977584.154903, 1956264.672641, 2696880.52378, 2366396.6233929996, 2423187.081904, 2411511.987931, 1292348.2532930002, 1256627.937897, 774302.312332, 857728.641231, 2042886.3913759997, 2132487.659163, 1722716.718823, 997206.290946, 1306117.556341, 829349.0170799999, 1195683.943175, 1662429.3402319998, 1772945.7572829998, 1865499.188959, 1656820.580098, 1893054.986974, 1813524.190632, 2166319.157464, 1856792.820134, 1664017.536428, 2541704.860847, 1953762.683641, 1749228.365602, 1649166.111041, 1824206.844901, 2119843.960474, 1876224.311783, 2256474.76692, 1979752.814734, 2323150.67366, 2323150.675149]",True
toasty-deluge-14046,50,0.001,0.01,job_shifting_1_MAB_80,0.01,0,136797730.146799,"[3578310.903568, 714424.7763189999, 1681301.277022, 604242.980043, 603581.000862, 1114604.111944, 996569.853204, 634605.6470349999, 566983.602629, 732080.884521, 539549.741027, 557619.370897, 641722.795225, 702748.81438, 1513304.953492, 1191284.3219209998, 482151.7538130001, 973433.980885, 974976.402497, 970707.951822, 2071705.338826, 2123667.238667, 2169995.859673, 2413737.642912, 1750268.156871, 2060798.411836, 2044877.444908, 2046287.502591, 2113262.174902, 2111583.194537, 1769123.962477, 1879892.976628, 2040085.287494, 1972982.348106, 1985809.49731, 2196773.994984, 1762338.975879, 2080190.065419, 1712403.5146700002, 2050926.112086, 2351418.3938220004, 2850672.065832, 3277376.670104, 2977584.119807, 1956264.64057, 2696880.490905, 2366396.6253429996, 2423187.0563570005, 2411512.041765, 1292348.325197, 1256627.912015, 774302.325016, 857728.6751339999, 2042886.3611279996, 2132487.583311, 1722716.6828489995, 997206.203883, 1306117.475607, 829348.984109, 1195683.894844, 1662429.2803159996, 1772945.5697509998, 1865499.147799, 1656820.555786, 1893054.9241649995, 1813524.1967100005, 2166319.135973, 1856792.849459, 1664017.579181, 2541704.8099, 1953762.607072, 1749228.338818, 1649166.05816, 1824206.813593, 2119843.875178, 1876224.227142, 2256474.7374859997, 1979752.783935, 2323150.661815, 2323150.64308]",True
spring-haze-14047,70,0.001,0.01,job_shifting_1_MAB_80,0.01,0,136797726.33712602,"[3578310.9155220003, 714424.383178, 1681301.219355, 604242.895996, 603580.919738, 1114604.026033, 996569.757719, 634605.5518449999, 566983.510692, 732080.8214949999, 539549.7047380001, 557619.336389, 641722.682273, 702748.7224699999, 1513304.864244, 1191284.275858, 482151.663055, 973433.895073, 974976.314145, 970707.865117, 2071705.169284, 2123667.2668740004, 2169995.846461, 2413737.633143, 1750268.146962, 2060798.403181, 2044877.437055, 2046287.487371, 2113262.1646379996, 2111583.18808, 1769123.907522, 1879892.866709, 2040085.1792099995, 1972982.236592, 1985809.38716, 2196773.88728, 1762338.866564, 2080189.957642, 1712403.5056180002, 2050926.016602, 2351418.386471, 2850672.065109, 3277376.664031, 2977584.112411, 1956264.633756, 2696880.483388, 2366396.54529, 2423186.998959, 2411511.956453, 1292348.2348280002, 1256627.904985, 774302.277705, 857728.6073769999, 2042886.3539459996, 2132487.5759179997, 1722716.6785509998, 997206.199416, 1306117.470245, 829348.977585, 1195683.890228, 1662429.2692569997, 1772945.568458, 1865499.137092, 1656820.54469, 1893054.918585, 1813524.097103, 2166319.126357, 1856792.785426, 1664017.506669, 2541704.766367, 1953762.594343, 1749228.324928, 1649166.045151, 1824206.807543, 2119843.87083, 1876224.264493, 2256474.7278, 1979752.817802, 2323150.634832, 2323150.6338649997]",True
wise-bush-14048,3,0.001,0.02,job_shifting_1_MAB_80,0.01,0,133989526.6518,"[3578310.936518, 714424.417383, 1681301.181417, 604242.900509, 603580.915335, 890601.147404, 997715.270887, 634605.5534929999, 566983.513687, 732080.809758, 735882.720807, 557619.3328379999, 641722.682745, 887855.869459, 1513304.858803, 1191284.2726989998, 482151.666575, 973433.893699, 1108434.6325200002, 970707.864782, 2071705.180092, 2123667.2397000003, 2169995.846074, 2340941.486814, 1557646.365064, 1994082.610836, 2044877.438786, 2046287.488963, 2217253.932151, 2050160.938601, 1743883.909185, 1879892.869224, 2040085.179716, 1960569.432344, 2119374.9592950004, 2239559.489265, 1857714.748127, 2181070.30731, 1724837.39144, 2139928.278856, 2351418.3788610003, 2850672.0121000004, 3277376.66658, 2950719.335742, 1933295.055051, 2657346.7045270004, 1245861.5333049998, 1430014.2946789998, 1455005.1430939997, 1292348.23197, 1256627.90483, 774302.27572, 857728.601052, 1967269.273058, 2057180.972647, 1937680.805394, 996991.307968, 1260016.223702, 829348.975949, 1195683.884532, 1662429.2698719995, 1772300.647122, 1863676.774519, 1656808.895546, 1893054.914816, 1817823.503106, 2166319.1253199996, 1857393.715276, 1664299.765634, 2544052.746761, 1953762.59917, 1747107.575551, 1659207.6866220003, 1823617.701658, 2118802.6883019996, 1758184.4564160004, 2256761.438462, 1979752.801597, 2323751.615463, 2323751.616665]",True
still-glitter-14049,5,0.001,0.02,job_shifting_1_MAB_80,0.01,0,137441581.47573504,"[3578310.910082, 714424.287986, 1681301.17747, 604242.902972, 603580.920929, 1114604.017563, 997715.267664, 634605.5503129999, 566983.51422, 732080.8362279999, 539549.698955, 557619.332817, 641722.681606, 702748.721973, 1513304.860981, 1191284.273139, 482151.673418, 973433.89266, 974976.313233, 970707.865538, 2071705.172149, 2123667.2863200004, 2169995.848109, 2413737.636162, 1557646.367624, 1994082.606503, 2044877.440928, 2046287.487746, 2217253.927537, 2050160.937802, 1725524.097859, 1851349.419511, 1971534.939626, 1900597.2260219995, 1985809.390829, 2196773.889351, 1762338.868955, 2080189.959894, 1712403.511074, 2050926.017721, 2351418.385612, 2850672.123008, 3277376.6648569996, 2977584.116321, 1933295.059874, 2677517.95749, 2378296.5049269996, 2449670.585085, 2438037.598328, 2342326.1086830003, 1256627.908801, 774302.280356, 857728.642238, 2042886.390906, 2132487.6704929997, 1722716.7476659997, 997206.290646, 1306117.479423, 829349.017071, 1195683.913506, 1662429.3236459997, 1772945.787196, 1865499.1817580005, 1656820.582493, 1893054.94629, 1813524.136647, 2166319.161597, 1856792.830784, 1664017.5499, 2541704.796542, 1953762.611229, 1749228.3697169998, 1649166.125108, 1824206.841461, 2119843.896184, 1876224.241408, 2256474.756416, 1979752.815171, 2323150.67774, 2323150.667688]",True
