name,tau,delta1,delta2,exp_id,lambda,rounds,rt_sum,rt_list,wandb_flag
celestial-pyramid-15384,3,0.001,0.01,job_static_1_MAB,0.01,0,226138164.571736,"[15087869.665608, 9261980.57308, 8751540.552866999, 8751540.550552, 8751540.550187, 9216266.336706, 8751540.556691999, 8751540.547914999, 8751540.550603999, 8751540.553441, 8751540.554357, 8751540.555560999, 8751540.553884, 8789696.370411, 8751540.553194, 8751540.551982999, 8751540.555801999, 8751540.555367999, 8751540.555576999, 8751540.553173998, 8751540.557672, 8751540.554932998, 8751540.555332, 8751540.553436, 8751540.553399999]",True
floral-galaxy-15385,5,0.001,0.01,job_static_1_MAB,0.01,0,226138164.67953897,"[15087869.656505, 9261980.57922, 8751540.557513999, 8751540.556282999, 8751540.553906, 9216266.333702, 8751540.557463, 8751540.554956999, 8751540.559703998, 8751540.561004, 8751540.555342, 8751540.566471, 8751540.556503, 8789696.388389999, 8751540.559872, 8751540.561353, 8751540.563438999, 8751540.559758998, 8751540.555366999, 8751540.555963999, 8751540.556388998, 8751540.556145, 8751540.557434998, 8751540.557973, 8751540.558879]",True
apricot-glade-15386,8,0.001,0.01,job_static_1_MAB,0.01,0,226138164.74556404,"[15087869.656183, 9261980.569017, 8751540.602862999, 8751540.556667, 8751540.558987, 9216266.35213, 8751540.558897, 8751540.556457, 8751540.571571, 8751540.558704, 8751540.555084, 8751540.556625, 8751540.556509, 8789696.378401, 8751540.560112, 8751540.555736, 8751540.565531999, 8751540.556846999, 8751540.553327, 8751540.558347, 8751540.567383999, 8751540.560057, 8751540.569354, 8751540.555851, 8751540.554922]",True
eternal-voice-15387,10,0.001,0.01,job_static_1_MAB,0.01,0,226138164.583694,"[15087869.668038, 9261980.559905002, 8751540.549758999, 8751540.553004999, 8751540.552105999, 9216266.335231, 8751540.557355, 8751540.553404, 8751540.551203, 8751540.565031, 8751540.553, 8751540.554770999, 8751540.564999, 8789696.373538999, 8751540.554217, 8751540.55455, 8751540.556936, 8751540.553291999, 8751540.555009998, 8751540.55514, 8751540.553164, 8751540.552522, 8751540.549007999, 8751540.552300999, 8751540.556208]",True
sweet-sun-15388,15,0.001,0.01,job_static_1_MAB,0.01,0,226138164.61958295,"[15087869.663774, 9261980.581826, 8751540.555038, 8751540.553577999, 8751540.553041998, 9216266.3916, 8751540.555967, 8751540.552622, 8751540.552243, 8751540.558162998, 8751540.557782, 8751540.552856999, 8751540.555876, 8789696.376069, 8751540.551662, 8751540.554646999, 8751540.549277999, 8751540.54801, 8751540.547571, 8751540.546829998, 8751540.553581, 8751540.549785, 8751540.549943, 8751540.54781, 8751540.560029]",True
prime-flower-15389,25,0.001,0.01,job_static_1_MAB,0.01,0,226138165.23644695,"[15087869.681556, 9261980.583578002, 8751540.55145, 8751540.550196, 8751540.548464999, 9216266.336614, 8751540.557967, 8751540.552032, 8751540.562743999, 8751540.579168, 8751540.572338, 8751540.570934, 8751540.609387, 8789696.486692, 8751540.659637999, 8751540.567052, 8751540.619647998, 8751540.62441, 8751540.576674, 8751540.574179, 8751540.574872999, 8751540.572103, 8751540.572393999, 8751540.57648, 8751540.575875]",True
smart-cherry-15390,50,0.001,0.01,job_static_1_MAB,0.01,0,226138165.382282,"[15087869.66878, 9261980.551071, 8751540.550462, 8751540.567648, 8751540.550013999, 9216266.329665, 8751540.550508998, 8751540.547389999, 8751540.561237998, 8751540.571687998, 8751540.575576, 8751540.611936, 8751540.614358999, 8789696.478952, 8751540.574461998, 8751540.592278, 8751540.612619, 8751540.663417999, 8751540.658192, 8751540.655352999, 8751540.652036998, 8751540.561514, 8751540.558162998, 8751540.554939, 8751540.570019]",True
unique-dust-15391,70,0.001,0.01,job_static_1_MAB,0.01,0,226138164.50134295,"[15087869.663449, 9261980.596983, 8751540.548532, 8751540.552292999, 8751540.551042, 9216266.333323, 8751540.552585999, 8751540.548331, 8751540.545806998, 8751540.559352, 8751540.545326, 8751540.545055998, 8751540.546815999, 8789696.366264999, 8751540.550515, 8751540.547546, 8751540.548529, 8751540.549296, 8751540.54734, 8751540.545234999, 8751540.550823, 8751540.548256999, 8751540.551775, 8751540.547321, 8751540.559545]",True
genial-plant-15392,3,0.001,0.02,job_static_1_MAB,0.01,0,226138166.635794,"[15087869.662851, 9261980.620430002, 8751540.667150998, 8751540.655794999, 8751540.554587, 9216266.340438, 8751540.665656999, 8751540.660004, 8751540.647093998, 8751540.612320999, 8751540.657688, 8751540.642405, 8751540.647804, 8789696.466308, 8751540.64898, 8751540.676678, 8751540.685446, 8751540.642531998, 8751540.639943998, 8751540.645999, 8751540.639101999, 8751540.640648, 8751540.639709, 8751540.638022, 8751540.638200998]",True
comic-terrain-15393,5,0.001,0.02,job_static_1_MAB,0.01,0,226138165.83901095,"[15087869.676039, 9261980.641958002, 8751540.663302999, 8751540.572467, 8751540.570858, 9216266.37926, 8751540.655387, 8751540.652609998, 8751540.651129998, 8751540.653992, 8751540.653808, 8751540.647613999, 8751540.644888999, 8789696.471218, 8751540.653522, 8751540.563051999, 8751540.599621, 8751540.562314998, 8751540.563375, 8751540.563896999, 8751540.567696, 8751540.56156, 8751540.556349998, 8751540.555137, 8751540.557953]",True
