name,tau,delta1,delta2,exp_id,lambda,rounds,rt_sum,rt_list
ancient-feather-4540,70,0.5,2e-07,tpcds_shifting_1_MAB_80,0.8,0,1123266932.3163478,"[68346537.277123, 27099396.243608996, 35748230.944628, 1704313.307492, 27278093.063752, 24032348.723811, 8275348.077176, 30592632.918656003, 9618435.74376, 47152373.752724, 63780294.21289499, 4201205.753374, 13658876.063839, 11734907.892788, 19612786.362878, 15619029.232593002, 17955863.112672, 15154661.702544, 36606387.753866, 30283663.590336, 2219867.388865, 1493578.2344099998, 1000551.421138, 1139143.947669, 1105342.9884, 1317394.3011359998, 912393.817784, 980559.781408, 1262133.6702879998, 1093232.830251, 1246687.770741, 1129881.541675, 1107814.520883, 1215744.410859, 953988.030176, 1134768.060485, 1124700.350432, 1199797.51114, 1035183.681765, 906447.081641, 4457847.270129, 4359920.780583, 4417316.714362001, 4384597.505042, 4400712.662303, 4501276.391718, 4379103.581321999, 4370590.580924, 4345523.350722, 4420175.650409, 4397123.4568179995, 4408631.141077999, 4380392.391144999, 4413617.421708, 4384973.1811029995, 4383497.870965, 4340108.28098, 4389118.36068, 4378791.430826999, 4373911.720725999, 9744655.439447, 50099520.352772005, 17754859.51771, 48785525.707776, 11919648.027542, 15137251.708054, 25920512.367202003, 24573331.388833, 45192079.448042, 45853002.897891, 5392462.587105, 12863065.547181, 5055543.817284, 7760336.846914001, 49562167.998325, 60824048.018410996, 15565639.138121998, 26705078.007583, 12319265.298028, 12317111.38692]"
legendary-waterfall-4538,25,0.5,2e-07,tpcds_shifting_1_MAB_80,0.8,0,1124479576.142918,"[68346537.272092, 27099396.245658997, 35748230.945307, 1704313.308383, 27278093.063543, 24032348.723582, 8275348.077954, 30592632.91897, 9618435.743643, 47152373.752534, 63780294.21304099, 4201205.752607, 13658876.063674, 11734907.892564, 19612786.362267, 15619029.231622, 17955863.111589, 15154661.701656, 36606387.752294, 30283663.590291, 2219867.388865, 1493578.233328, 1000551.42053, 1139143.946685, 1105342.988061, 1317394.3007819997, 912393.816661, 980559.781018, 1262133.669608, 1093232.829628, 1246687.77008, 1129881.541021, 1107814.520587, 1215744.410131, 953988.03027, 1134768.059656, 1124700.349706, 1199797.511234, 1035183.681584, 906447.080969, 4457847.268759999, 4359920.779719, 4417316.7134340005, 4384597.504459, 4400712.661581, 4501276.391310001, 4379103.5762519995, 4896897.598402, 4345321.216723001, 4485214.6326129995, 4462162.423893999, 4473670.114018999, 4441758.348366, 4474983.263835, 4446339.220983, 4444863.187689, 4401473.834481, 4450980.841136999, 4440156.2914229985, 4435277.714156998, 9744655.444849998, 50099520.349574, 17754859.517903, 48785525.708456, 11919648.028031, 15137251.708878, 25920512.368611, 24573331.38819, 45192079.447735, 45853002.897203, 5392462.587581, 12863065.547053, 5055543.817263001, 7760336.848681, 49562167.998182, 60824048.01770499, 15565639.137548998, 26705078.007199, 12317111.387576, 12319265.297785]"
breezy-dragon-4537,15,0.5,2e-07,tpcds_shifting_1_MAB_80,0.8,0,1124304673.4123924,"[68346537.272222, 27099396.247353, 35748230.945529, 1704313.307435, 27278093.063715, 24032348.722382, 8275348.076632, 30592632.918313, 9618435.745279, 47152373.753009, 63780294.21292599, 4201205.752769, 13658876.062811, 11734907.892381, 19612786.362575, 15619029.235302, 17955863.11467, 15154661.70319, 36606387.75356, 30283663.589602, 2219867.388784, 1493578.235738, 1000551.420826, 1139143.946949, 1105342.987283, 1317394.3000419997, 912393.813262, 1754902.8230209998, 1252728.8809889995, 1093232.830515, 1246687.769872, 1120171.2295050002, 1108944.279303, 1215744.4072669998, 952618.587671, 1126282.1203760002, 1123198.759632, 1191311.570187, 1025134.961672, 897961.1394510001, 4457847.270191, 4359920.782641999, 4417316.714380001, 4384597.503711999, 4400712.660622, 4501276.390368001, 4379103.580894, 4370590.58296, 4345523.351582, 4420175.651955, 4397123.451358, 4408631.140226999, 4380392.390384, 4413617.420527, 4384973.1846239995, 4383497.871954, 4340108.2813, 4389118.356486, 4904481.588582999, 4373709.587081, 9744655.446607998, 50099520.337837, 17754859.518305, 48785525.708048, 11919648.027615, 15137251.707679, 25920512.366457, 24573331.386417996, 45192079.447000995, 45853002.898384, 5392462.587544001, 12863065.548331, 5055543.817295, 7554609.826371, 49562167.997033, 60824048.016939, 15565639.137662996, 26705078.007321, 12319265.296969, 12317111.386745]"
deft-sunset-4536,10,0.5,2e-07,tpcds_shifting_1_MAB_80,0.8,0,1124729360.4466898,"[68346537.26997401, 27099396.246264, 35748230.94275, 1704313.305893, 27278093.063129, 24032348.722642, 8275348.076476, 30592632.918015, 9618435.744492, 47152373.751639, 63780294.21234299, 4201205.752494, 13658876.062446, 11734907.893566, 19612786.363204, 15619029.232788002, 17955863.112134002, 15154661.701867, 36606387.75234901, 30283663.589104, 2219867.385546, 1493578.2347159998, 1000551.4217009998, 1139143.946736, 1105342.986903, 1317394.3012569998, 912393.818295, 980559.781326, 1262133.669946, 1093232.830344, 1246687.770006, 1129881.540086, 1107814.520159, 1215744.411224, 953988.030789, 1134768.060378, 1124700.3502230002, 1199797.509918, 1035183.680352, 906447.080165, 4457847.270152, 4359920.781791, 4417316.713835001, 4384597.503440999, 4400712.660139, 4501276.390249, 4379103.580731, 4370590.577181, 4870673.888929999, 4485416.767303, 4462162.42081, 4473670.116734999, 4445431.363494999, 4478656.396826999, 4450012.150843999, 4444863.184245, 4401473.830622, 4450980.855211, 4440156.290391999, 4435277.716518999, 9744655.442542998, 50099520.338699006, 17754859.517843, 48785525.707853, 11919648.027785, 15137251.703043, 26369486.966802005, 24571750.276749, 45192079.446651, 45855156.817699, 5390308.677678, 12863065.546981, 5053389.906886, 7554609.826879, 49562172.896507, 60826201.923296, 15565639.137934998, 26705078.00768, 12317111.387116, 12317111.386974]"
fast-night-4535,8,0.5,2e-07,tpcds_shifting_1_MAB_80,0.8,0,1126248670.4389057,"[68346537.269002, 27099396.245449997, 35748230.944078, 1704313.306647, 27278093.063806, 24032348.723012, 8275348.077242, 30592632.919291, 9618435.743898, 47152373.753006, 63780294.212676995, 4201205.75304, 13658876.063033, 11734907.893148, 19612786.364119, 15619029.233116, 17955863.113011, 15154661.70286, 36606387.748557, 30528136.823621, 3744810.9532940006, 1493578.234205, 1000551.420609, 1139143.947678, 1105342.991374, 1317394.3007759997, 912393.818454, 980559.781796, 1262133.6705969998, 1093232.830582, 1246687.770196, 1129881.540168, 1107814.520303, 1215744.411524, 953988.031187, 1134768.060315, 1124700.3502220002, 1199797.510176, 1035183.680303, 906447.080849, 4457847.269392, 4359920.773092, 4417316.713614001, 4384597.503407, 4400712.659683, 4501276.385376001, 4840049.137610999, 4370388.447052, 4410562.326588, 4485214.626213, 4462162.43636, 4473670.121559999, 4441758.34366, 4474983.26469, 4446339.221603, 4444863.181429, 4401473.834155, 4450980.843886999, 4440156.293609999, 4435277.710592999, 9744655.437681, 50099520.338062, 17754859.518595, 48785525.70865, 11919648.028227, 15137251.708198, 25920512.36704, 24573331.386864, 45192079.447532, 45853002.898076, 5392462.588142001, 12863065.547684, 5055543.817196, 7760336.847533001, 49562167.997119, 60824048.017341994, 15565639.138958998, 26705078.009002, 12317111.388069, 12319265.298138]"
spring-snowflake-4534,5,0.5,2e-07,tpcds_shifting_1_MAB_80,0.8,0,1128189094.8218007,"[68346537.271102, 27099396.260114, 35748230.944051996, 1704313.30699, 27278093.064219, 24032348.723568, 8275348.072504, 30592632.918135, 9618435.744328, 47152373.753507, 63780294.21332599, 4201205.75288, 13658876.057816, 12820332.233706, 20272045.602775, 15616846.084518, 17997480.652358003, 15199189.119662, 36525095.50914001, 30159456.69919, 3744810.950688, 1493578.234647, 1000551.420761, 1139143.947671, 1105342.991286, 1317394.3002359995, 912393.812702, 1754902.822913, 1252728.8809019998, 1093232.830315, 1246687.770292, 1120171.2303590002, 1108944.27997, 1215744.406601, 952618.586684, 1126282.121978, 1123198.760853, 1191311.5702289997, 1025134.950685, 897961.13973, 4457847.268692, 4294763.762576, 4779433.324612, 4384479.451160999, 4465835.721146, 4501158.340732999, 4314240.9307349995, 4370472.526407, 4624422.988206999, 4420057.608327, 4462246.524174999, 4473754.211051999, 4380274.347207, 4413499.373618, 4384855.133714, 4383295.737125, 4339906.148509, 4389412.724702001, 4443830.404390999, 4373709.587119, 9744655.442317998, 50099520.338021, 17754859.517980002, 48785525.708846, 11919648.023834, 15584510.82826, 25922666.277573, 24573336.167058, 45189925.536878, 45855156.797645, 5390308.678445, 12865219.454953, 5053389.90756, 7598899.187876, 49562167.997807, 60826201.927792, 15563485.227854997, 26705078.007795997, 12319265.297856, 12317111.387848]"
icy-smoke-4533,3,0.5,2e-07,tpcds_shifting_1_MAB_80,0.8,0,1127865602.5520897,"[68346537.270788, 27099396.243734, 35748230.943194, 1704313.308268, 27278093.074752, 24032348.722522, 8275348.076384, 30592632.916424, 9618435.744016, 47152373.751839004, 63780294.208983995, 4849003.93421, 13658876.062743, 11664355.621918, 19578367.721607, 15550245.968849, 17923336.012815002, 15135457.963469, 36430743.612348, 29959891.242251, 3744810.950909, 1493578.2347469998, 1000551.421557, 1139143.947499, 1105342.98227, 2432886.26169, 908188.306889, 980559.78061, 1262133.667101, 1101718.771102, 1236808.2205850002, 1129881.539915, 1108944.279567, 1215744.409235, 962473.969416, 1126282.1196740002, 1123561.752414, 1189740.730554, 1035183.680035, 896345.9594000002, 4457847.269586, 4755522.431, 4417114.571999, 4771899.946618999, 4465751.637069999, 4435833.147003001, 4314156.846903999, 4370388.446734, 4343792.143316001, 4419973.517222, 4396921.321514, 4408429.003955, 4380190.253767, 4413415.284204, 4384771.043188999, 4383295.728849, 4785602.257037, 4916131.618199, 4461515.458939998, 4914556.544807, 9744655.437652, 50099520.336444005, 17754859.516922, 48785525.70805099, 11919648.02907, 15137251.708226, 25920512.367002003, 24573331.386433996, 45192079.446631, 45853002.896221, 5392462.586435, 12863065.547006, 4968782.348047, 7598899.187139001, 49562167.996979, 60824048.017097, 15565639.136643998, 26706656.266659, 12317111.386948, 12317111.388284]"
absurd-music-4532,70,0.5,2e-06,tpcds_shifting_1_MAB_80,0.8,0,1123266932.315023,"[68346537.26911901, 27099396.244049, 35748230.943439, 1704313.306964, 27278093.063824, 24032348.723397, 8275348.076077, 30592632.917708, 9618435.742589, 47152373.75335501, 63780294.213015, 4201205.752647, 13658876.062788, 11734907.892702, 19612786.362499, 15619029.232733002, 17955863.113457, 15154661.702908, 36606387.752621, 30283663.589186, 2219867.3889130005, 1493578.235245, 1000551.42191, 1139143.9474739998, 1105342.987112, 1317394.3038179998, 912393.816925, 980559.793395, 1262133.6714, 1093232.830547, 1246687.769919, 1129881.540071, 1107814.519986, 1215744.410068, 953988.030688, 1134768.061348, 1124700.3503440002, 1199797.510503, 1035183.6800029998, 906447.080082, 4457847.268282999, 4359920.783818, 4417316.7137980005, 4384597.504067999, 4400712.671338, 4501276.39089, 4379103.581421, 4370590.582144, 4345523.352413001, 4420175.652271, 4397123.451612, 4408631.141019, 4380392.391026, 4413617.420891, 4384973.18112, 4383497.871195, 4340108.28257, 4389118.362225, 4378791.431648999, 4373911.721193999, 9744655.439808998, 50099520.337983005, 17754859.517736, 48785525.709261, 11919648.02882, 15137251.708706, 25920512.367953, 24573331.387572, 45192079.448277995, 45853002.897254, 5392462.588555001, 12863065.547827, 5055543.8181610005, 7760336.8485, 49562167.997786, 60824048.01809099, 15565639.138715995, 26705078.008316, 12319265.298423, 12317111.387503]"
quiet-sunset-4531,50,0.5,2e-06,tpcds_shifting_1_MAB_80,0.8,0,1123509904.933986,"[68346537.282096, 27099396.244958997, 35748230.9417, 1704313.305881, 27278093.063966, 24032348.723077, 8275348.071899001, 30592632.914863, 9618435.743861, 47152373.751263, 63780294.21161, 4201205.75201, 13658876.063102, 11734907.892222, 19612786.361693, 15619029.231524002, 17955863.111687, 15154661.701516, 36606387.753149, 30283663.589386, 2219867.385724, 1493578.221284, 1000551.4195139998, 1139143.945666, 1105342.986165, 1317394.3000329998, 912393.816039, 980559.779304, 1262133.6700189998, 1093232.838586, 1246687.786534, 1129881.542948, 1107814.520711, 1215744.409541, 953988.028991, 1134768.058416, 1124700.348982, 1199797.509023, 1035183.678708, 906447.079996, 4457847.268662999, 4359920.7790749995, 4417316.713593001, 4384597.503409999, 4400712.660392, 4501276.391059, 4379103.5812989995, 4370590.581282, 4345523.350717001, 4420175.650418, 4397123.457071, 4408631.140780999, 4380392.390245999, 4413617.420258, 4384973.180845, 4383497.871885, 4340108.284469, 4389118.360562, 4378791.430407999, 4373911.720225, 9744655.439718, 50099520.338309005, 17754859.518153, 48785525.708575, 11919648.02792, 15137251.70334, 26369486.968472004, 24571750.277591, 45192079.446902, 45855156.808972, 5390308.677486001, 12863065.546992, 5055543.816092, 7555916.045949, 49562167.996935, 60824048.01315799, 15565639.137081996, 26705078.004646, 12317111.387109, 12319265.296279]"
playful-field-4530,25,0.5,2e-06,tpcds_shifting_1_MAB_80,0.8,0,1124479253.6186285,"[68346537.25112501, 27099396.258695, 35748230.943458, 1704313.306672, 27278093.063566, 24032348.723676, 8275348.078468, 30592632.918675, 9618435.743989998, 47152373.752752, 63780294.213626, 4201205.753133, 13658876.064441, 11734907.893852, 19612786.363105, 15619029.232646002, 17955863.112727, 15154661.702833, 36606387.753103, 30283663.59077, 2219867.3897410003, 1493578.233355, 1000551.4212589998, 1139143.947774, 1105342.989459, 1317394.3013759998, 912393.818368, 980559.781262, 1262133.670053, 1093232.829451, 1246687.769781, 1129881.540532, 1107814.521316, 1215744.410302, 953988.030194, 1134768.059632, 1124700.3498870002, 1199797.509657, 1035183.679959, 906447.081406, 4457847.267573, 4359920.771705, 4417316.7135850005, 4384597.503586, 4400712.660079, 4501276.386247001, 4840049.139719998, 4370388.447787, 4410562.327448, 4485214.630712, 4462162.426597, 4473670.109989, 4441758.343536, 4474983.266437, 4446339.2253209995, 4444863.187449999, 4401473.834916, 4450980.843451, 4440156.290262999, 4435277.713302999, 9744655.440624, 50099520.329554, 17754859.518488, 48785525.707852, 11919648.027805, 15137251.707444, 25920512.367235, 24573331.386414997, 45192079.447111994, 45853002.897279, 5392462.588406, 12863065.547362, 5055543.816992001, 7760336.846928, 49562167.996727, 60824048.01687, 15565639.137180995, 26705078.007209, 12317111.387908, 12319265.297455]"
