name,tau,delta1,delta2,exp_id,lambda,rounds,rt_sum,rt_list,wandb_flag
robust-hill-9920,3,0.001,0.01,tpcds_static_10_MAB,0.01,0,343689571.7651029,"[16615578.477383, 14612032.479321, 13515899.290022995, 14182153.802428998, 13532913.196107997, 13718227.837204998, 13533325.641925998, 14612032.137344, 13330564.666408995, 13330768.667441996, 13330768.666813996, 13330564.667010996, 13330564.667237995, 13330768.666704996, 13330564.666395996, 13330564.667971997, 13996815.186365996, 13996388.005849997, 13532725.198662998, 13532725.196712997, 13532725.195434997, 13532725.196570998, 13532725.197223997, 13532725.195323998, 13532725.195230998]",
sweet-shadow-9921,5,0.001,0.01,tpcds_static_10_MAB,0.01,0,342769071.5810129,"[16615578.503853, 14612032.422016, 13515899.290907996, 14182153.807026, 13532913.198314996, 13718227.835763998, 13533325.650817998, 13695075.751152998, 13695238.77137, 14612032.136292998, 13330564.664914995, 13330341.486615997, 13330341.485321997, 13330341.486259997, 13330341.487246996, 13515468.115278997, 13330341.485954996, 13330564.666150996, 13330341.485884996, 13330564.665080996, 13513476.635975, 13513476.641549, 13513476.635595, 13513476.635949, 13513476.635718]",
laced-cosmos-9922,8,0.001,0.01,tpcds_static_10_MAB,0.01,0,339541220.108593,"[16615578.467908, 14612032.420898998, 13515899.288235996, 14182153.806911, 13532913.195021998, 13718227.83867, 13533325.646035, 13695075.745279998, 13695238.774701, 13533136.385302998, 13260508.254874, 13260508.254187, 13260508.254389, 13260508.255801, 13260508.252679, 13260508.25401, 13260508.255205, 13260508.253719, 13260508.253656, 13260508.254217, 13260508.255284, 13260508.253712, 13260508.258468, 13260508.254957, 13260522.97447]",
tough-smoke-9923,10,0.001,0.01,tpcds_static_10_MAB,0.01,0,339541220.1521109,"[16615578.513856, 14612032.388239998, 13515899.289909994, 14182153.806867998, 13532913.197099997, 13718227.835136998, 13533325.645815998, 13695075.745696995, 13695238.776079, 13533136.3846, 13260508.254756, 13260508.257005, 13260508.255161, 13260508.25956, 13260508.258838, 13260508.256045, 13260508.254427, 13260508.259058, 13260508.25476, 13260508.254334, 13260508.254321, 13260508.261077, 13260508.259551, 13260508.254461, 13260522.975454]",
swift-elevator-9924,15,0.001,0.01,tpcds_static_10_MAB,0.01,0,339541220.1384019,"[16615578.468004, 14612032.421214998, 13515899.292142997, 14182153.808111, 13532913.200263998, 13718227.836597998, 13533325.645960998, 13695075.745231, 13695238.776527, 13533136.385379998, 13260508.254481, 13260508.257106, 13260508.254746, 13260508.254366, 13260508.25607, 13260508.256728, 13260508.254667, 13260508.254911, 13260508.256331, 13260508.255109, 13260508.255002, 13260508.256769, 13260508.261284, 13260508.255952, 13260522.975446]",
legendary-hill-9925,25,0.001,0.01,tpcds_static_10_MAB,0.01,0,339541220.1878358,"[16615578.497329, 14612032.442533998, 13515899.293202994, 14182153.809497, 13532913.198659996, 13718227.840430995, 13533325.648096995, 13695075.745180998, 13695238.775934, 13533136.386316998, 13260508.255099, 13260508.255903, 13260508.260693, 13260508.256729, 13260508.25451, 13260508.254914, 13260508.255005, 13260508.254483, 13260508.254295, 13260508.255613, 13260508.254206, 13260508.254895, 13260508.255555, 13260508.254819, 13260522.973933998]",
soft-silence-9926,50,0.001,0.01,tpcds_static_10_MAB,0.01,0,339541221.097166,"[16615578.496676, 14612032.445119, 13515899.330383996, 14182153.848424, 13532913.234420998, 13718227.875522995, 13533325.687134998, 13695075.785607995, 13695238.81588, 13533136.425090998, 13260508.294872, 13260508.294589, 13260508.293412, 13260508.294599, 13260508.303833, 13260508.294768, 13260508.294377, 13260508.294107, 13260508.294022, 13260508.295133, 13260508.296002, 13260508.294537, 13260508.300216, 13260508.294087, 13260523.014351]",
gallant-silence-9927,70,0.001,0.01,tpcds_static_10_MAB,0.01,0,339541220.19935495,"[16615578.482179, 14612032.456509998, 13515899.293569995, 14182153.808055, 13532913.199589998, 13718227.836073998, 13533325.646674998, 13695075.744863998, 13695238.774737, 13533136.390774, 13260508.255539, 13260508.254904, 13260508.255994, 13260508.255339, 13260508.254607, 13260508.255758, 13260508.256511, 13260508.254026, 13260508.254954, 13260508.258014, 13260508.256626, 13260508.260578, 13260508.257203, 13260508.260984, 13260522.97529]",
glamorous-dream-9928,3,0.001,0.02,tpcds_static_10_MAB,0.01,0,343689571.74707097,"[16615578.479394, 14612032.443215, 13515899.292875996, 14182153.806524998, 13532913.196633996, 13718227.836572995, 13533325.641504, 14612032.136721998, 13330564.665800996, 13330768.666812995, 13330768.665728996, 13330564.669335997, 13330564.671359995, 13330768.667000996, 13330564.666268997, 13330564.666077996, 13996815.186755996, 13996388.005584996, 13532725.200678997, 13532725.197932998, 13532725.195896998, 13532725.201423995, 13532725.196532998, 13532725.194825998, 13532725.195607996]",
solar-dawn-9929,5,0.001,0.02,tpcds_static_10_MAB,0.01,0,342769071.6142629,"[16615578.476832, 14612032.433571998, 13515899.299106997, 14182153.839415, 13532913.197094996, 13718227.835435998, 13533325.646418998, 13695075.746633, 13695238.770608, 14612032.139103, 13330564.668402996, 13330341.489068996, 13330341.486808997, 13330341.486316996, 13330341.486193996, 13515468.115401996, 13330341.485676996, 13330564.666772995, 13330341.489384996, 13330564.665800996, 13513476.63629, 13513476.643713, 13513476.637622, 13513476.636215998, 13513476.636371998]",
resilient-totem-9930,8,0.001,0.02,tpcds_static_10_MAB,0.01,0,342769071.61004996,"[16615578.487767, 14612032.457157, 13515899.290785994, 14182153.807837998, 13532913.197699998, 13718227.836437998, 13533325.647429, 13695075.745844996, 13695238.770876, 14612032.137167, 13330564.665092995, 13330341.485387996, 13330341.485217996, 13330341.485702995, 13330341.484570997, 13515468.116758997, 13330341.487700997, 13330564.666871997, 13330341.497764995, 13330564.667531995, 13513476.637338, 13513476.642172998, 13513476.636961998, 13513476.637064, 13513476.634907998]",
amber-feather-9931,10,0.001,0.02,tpcds_static_10_MAB,0.01,0,339541220.2315041,"[16615578.502827, 14612032.467246998, 13515899.292162996, 14182153.807837998, 13532913.198986998, 13718227.835488996, 13533325.646619998, 13695075.746142998, 13695238.775873, 13533136.383308, 13260508.256389, 13260508.263199, 13260508.257077, 13260508.256112, 13260508.254993, 13260508.257528, 13260508.254783, 13260508.256804, 13260508.260111, 13260508.256687, 13260508.256025, 13260508.259625, 13260508.254915, 13260508.255752, 13260522.975008998]",
clean-firefly-9932,15,0.001,0.02,tpcds_static_10_MAB,0.01,0,339541220.239234,"[16615578.523543, 14612032.437681, 13515899.294352995, 14182153.807773998, 13532913.196945995, 13718227.838563995, 13533325.649270998, 13695075.753606996, 13695238.780739998, 13533136.387354998, 13260508.257171, 13260508.257128, 13260508.25651, 13260508.25522, 13260508.25659, 13260508.257708, 13260508.256127, 13260508.255975, 13260508.256922, 13260508.256029, 13260508.256297, 13260508.26242, 13260508.255562, 13260508.254968, 13260522.974773]",
soft-water-9933,25,0.001,0.02,tpcds_static_10_MAB,0.01,0,339541220.155316,"[16615578.482364, 14612032.435058998, 13515899.290196994, 14182153.810035998, 13532913.199012997, 13718227.835579, 13533325.645613998, 13695075.746180998, 13695238.774778, 13533136.38413, 13260508.258749, 13260508.254926, 13260508.254267, 13260508.254235, 13260508.257243, 13260508.254884, 13260508.254311, 13260508.255524, 13260508.254022, 13260508.253954, 13260508.254662, 13260508.26029, 13260508.254619, 13260508.254272, 13260522.976407]",
