name,tau,delta1,delta2,exp_id,lambda,rounds,wandb_flag,rt_sum,rt_list
treasured-eon-3488,70,0.5,2e-07,tpch_static_1_MAB,0.8,0,,99584303.19254602,"[4388975.99646, 3943444.330865, 4087214.803491, 3943444.11621, 3937149.553421001, 3937113.567600001, 3937212.347592, 3850583.796933, 3937113.312565001, 3838766.9523740006, 3937212.283615001, 3937212.282373001, 3838766.9583160006, 3991924.9086640007, 4087214.807931, 4087214.808189001, 4087214.804172, 4087214.804105, 4087214.803745, 3940266.51708, 3940365.490039, 3940365.486276, 3940365.485989, 3940365.48701, 3940365.487531]"
northern-rain-3486,50,0.5,2e-07,tpch_static_1_MAB,0.8,0,,99584303.17146,"[4388976.027729, 3943444.330908, 4087214.803044, 3943444.11589, 3937149.552822, 3937113.562508001, 3937212.342934, 3850583.792512001, 3937113.313077001, 3838766.9533830006, 3937212.285327001, 3937212.283558001, 3838766.9530310007, 3991924.9031330007, 4087214.804647, 4087214.804233, 4087214.803343, 4087214.803483001, 4087214.803352, 3940266.515787, 3940365.484646, 3940365.483409, 3940365.482006, 3940365.482769, 3940365.483929]"
dazzling-morning-3483,25,0.5,2e-07,tpch_static_1_MAB,0.8,0,,99584302.88814402,"[4388976.0277660005, 3943444.279425, 4087214.795507, 3943444.104926, 3937149.543249, 3937113.552903001, 3937212.333391001, 3850583.783264, 3937113.303649001, 3838766.943471001, 3937212.2743120007, 3937212.2731300006, 3838766.942853001, 3991924.8929670006, 4087214.79317, 4087214.793944, 4087214.79386, 4087214.793108, 4087214.793261, 3940266.503112, 3940365.473623, 3940365.473066, 3940365.47313, 3940365.473463, 3940365.473594]"
eager-mountain-3480,15,0.5,2e-07,tpch_static_1_MAB,0.8,0,,99577922.059598,"[4388976.0372790005, 3943444.291062, 4087214.794098, 3943444.10901, 3937149.543502, 3937113.553416001, 3937212.333274, 3850583.783047, 3937113.302955001, 3838766.943370001, 3937212.2748660007, 3937212.2734710006, 3838766.9432060006, 3991924.892912001, 4087214.792697, 4087214.793575001, 4087214.792928, 4087214.792573, 4087214.793394, 3940266.503146, 3940365.473102, 3943444.103432, 3937212.2734810007, 3937212.332978, 3937212.332824]"
sweet-donkey-3477,10,0.5,2e-07,tpch_static_1_MAB,0.8,0,,98977932.68869902,"[4388976.047434, 3943444.278356, 4087214.793824, 3943444.10367, 3937149.543217, 3937113.552981001, 3937212.333436, 3850583.783617001, 3937113.303931001, 3838766.9438010007, 3937212.274230001, 3937212.273643001, 3838766.9435320008, 3991924.893572001, 4087214.793412, 4087214.793739, 3943444.114366, 3937212.2742710006, 3937212.334018, 3937212.333564, 3793437.643499, 3937212.332939, 3937212.332962, 3937212.333059, 3937212.333626]"
comic-bush-3474,8,0.5,2e-07,tpch_static_1_MAB,0.8,0,,98534153.36619,"[4388976.018359001, 3943444.305394, 4087214.802816, 3943444.113339, 3937149.552417, 3937113.5620500008, 3937212.340825, 3850583.7918600007, 3937113.313504001, 3838766.9726380007, 3937212.283396001, 3937212.2824090007, 3838766.9522890006, 3991924.902200001, 3943444.114322, 3937212.284947001, 3937212.345787, 3937212.366467001, 3793437.65913, 3937212.345995, 3937212.346687, 3937212.359805001, 3937212.346234, 3937212.34674, 3793437.65658]"
lunar-wave-3473,5,0.5,2e-07,tpch_static_1_MAB,0.8,0,,98578199.39621902,"[4388976.032669, 3943444.447303, 4087214.805482, 3943444.126073, 3937149.56638, 3937113.585954001, 3937212.351391, 3850583.8119040006, 3937113.317012001, 3838766.984075001, 3937212.3118790006, 3943444.124529, 3937236.4072770006, 3937236.4355780007, 3793461.742147001, 3937236.417920001, 3937236.4099110006, 3937236.407007001, 3937236.4048410007, 3937236.407131001, 3937236.4031170006, 3937236.400180001, 3937236.3955510007, 3793461.705553, 3937236.3953550006]"
vivid-wood-3470,3,0.5,2e-07,tpch_static_1_MAB,0.8,0,,97217368.142436,"[4388976.021144001, 3943444.276176, 4087214.793444, 3943444.103271, 3937149.542982, 3937113.552909001, 3937212.332874, 3850583.7830830007, 3937113.302798001, 3943444.104214, 3940357.453566, 3796590.782782001, 3940365.472763, 3940365.472781, 3790363.012947, 3790363.015678, 3790363.013824, 3790363.013699, 3790363.013303, 3790363.012955, 3790363.012774, 3790363.012852, 3790363.012931, 3790363.013062, 3790363.013624]"
fiery-sound-3467,70,0.5,2e-06,tpch_static_1_MAB,0.8,0,,99584302.915856,"[4388976.042540001, 3943444.290161, 4087214.794418, 3943444.103736, 3937149.543165, 3937113.552708001, 3937212.334729001, 3850583.7833440006, 3937113.303371001, 3838766.9434580007, 3937212.274811001, 3937212.2733260007, 3838766.943418001, 3991924.893226001, 4087214.793019, 4087214.793859, 4087214.793383, 4087214.793241, 4087214.793278, 3940266.503439, 3940365.473966, 3940365.4729, 3940365.473234, 3940365.473636, 3940365.47549]"
visionary-snow-3464,50,0.5,2e-06,tpch_static_1_MAB,0.8,0,,99584302.911807,"[4388976.0196320005, 3943444.292863, 4087214.793859, 3943444.103673, 3937149.543834, 3937113.553605001, 3937212.334238, 3850583.783579, 3937113.303748001, 3838766.9432660006, 3937212.2743140007, 3937212.273251001, 3838766.943486, 3991924.8934650007, 4087214.793204, 4087214.794156001, 4087214.804254, 4087214.793911, 4087214.793951, 3940266.50385, 3940365.474831, 3940365.474001, 3940365.474377, 3940365.474162, 3940365.474297]"
